date,platform,service,team,user,cost_usd,credits,dbus,tokens_in,tokens_out
2026-06-13,ai,claude-3-5-sonnet,ai-apps,r.kim,9.94,0.0,0.0,924345,420242
2026-06-13,ai,gpt-4o,ai-apps,s.patel,13.57,0.0,0.0,867436,132147
2026-06-13,ai,gpt-4o-mini,ai-apps,m.okafor,3.39,0.0,0.0,609029,91461
2026-06-13,databricks,etl-cluster,data-platform,l.garcia,52.65,0.0,95.7,0,0
2026-06-13,databricks,ml-cluster,ml-platform,l.garcia,76.92,0.0,139.9,0,0
2026-06-13,snowflake,ANALYTICS_WH,analytics,m.okafor,68.97,22.99,0.0,0,0
2026-06-13,snowflake,COMPUTE_WH,analytics,s.patel,103.61,34.54,0.0,0,0
2026-06-13,snowflake,DEV_WH,data-platform,a.sharma,36.2,12.07,0.0,0,0
2026-06-13,snowflake,INGEST_WH,data-platform,j.chen,36.02,12.01,0.0,0,0
2026-06-14,ai,claude-3-5-sonnet,ai-apps,l.garcia,10.15,0.0,0.0,1429488,465137
2026-06-14,ai,gpt-4o,ai-apps,j.chen,14.76,0.0,0.0,1096024,69711
2026-06-14,ai,gpt-4o-mini,ai-apps,l.garcia,3.22,0.0,0.0,939530,196621
2026-06-14,databricks,etl-cluster,data-platform,r.kim,51.77,0.0,94.1,0,0
2026-06-14,databricks,ml-cluster,ml-platform,l.garcia,75.02,0.0,136.4,0,0
2026-06-14,snowflake,ANALYTICS_WH,analytics,j.chen,69.48,23.16,0.0,0,0
2026-06-14,snowflake,COMPUTE_WH,analytics,s.patel,95.9,31.97,0.0,0,0
2026-06-14,snowflake,DEV_WH,data-platform,a.sharma,36.66,12.22,0.0,0,0
2026-06-14,snowflake,INGEST_WH,data-platform,s.patel,33.72,11.24,0.0,0,0
2026-06-15,ai,claude-3-5-sonnet,ai-apps,m.okafor,21.52,0.0,0.0,631204,357122
2026-06-15,ai,gpt-4o,ai-apps,m.okafor,29.45,0.0,0.0,1648575,428761
2026-06-15,ai,gpt-4o-mini,ai-apps,l.garcia,7.17,0.0,0.0,559834,412204
2026-06-15,databricks,etl-cluster,data-platform,r.kim,116.48,0.0,211.8,0,0
2026-06-15,databricks,ml-cluster,ml-platform,m.okafor,170.58,0.0,310.2,0,0
2026-06-15,snowflake,ANALYTICS_WH,analytics,m.okafor,151.19,50.4,0.0,0,0
2026-06-15,snowflake,COMPUTE_WH,analytics,a.sharma,207.64,69.21,0.0,0,0
2026-06-15,snowflake,DEV_WH,data-platform,m.okafor,104.45,34.82,0.0,0,0
2026-06-15,snowflake,INGEST_WH,data-platform,l.garcia,72.66,24.22,0.0,0,0
2026-06-16,ai,claude-3-5-sonnet,ai-apps,s.patel,20.81,0.0,0.0,1342492,304417
2026-06-16,ai,gpt-4o,ai-apps,l.garcia,32.46,0.0,0.0,1739144,304356
2026-06-16,ai,gpt-4o-mini,ai-apps,s.patel,7.38,0.0,0.0,1630842,186777
2026-06-16,databricks,etl-cluster,data-platform,s.patel,110.25,0.0,200.5,0,0
2026-06-16,databricks,ml-cluster,ml-platform,m.okafor,180.02,0.0,327.3,0,0
2026-06-16,snowflake,ANALYTICS_WH,analytics,m.okafor,146.96,48.99,0.0,0,0
2026-06-16,snowflake,COMPUTE_WH,analytics,a.sharma,222.09,74.03,0.0,0,0
2026-06-16,snowflake,DEV_WH,data-platform,s.patel,105.2,35.07,0.0,0,0
2026-06-16,snowflake,INGEST_WH,data-platform,l.garcia,71.76,23.92,0.0,0,0
2026-06-17,ai,claude-3-5-sonnet,ai-apps,l.garcia,22.04,0.0,0.0,936535,232874
2026-06-17,ai,gpt-4o,ai-apps,a.sharma,31.95,0.0,0.0,1202657,277256
2026-06-17,ai,gpt-4o-mini,ai-apps,j.chen,7.27,0.0,0.0,500551,200431
2026-06-17,databricks,etl-cluster,data-platform,r.kim,105.92,0.0,192.6,0,0
2026-06-17,databricks,ml-cluster,ml-platform,j.chen,166.61,0.0,302.9,0,0
2026-06-17,snowflake,ANALYTICS_WH,analytics,m.okafor,148.89,49.63,0.0,0,0
2026-06-17,snowflake,COMPUTE_WH,analytics,m.okafor,213.73,71.24,0.0,0,0
2026-06-17,snowflake,DEV_WH,data-platform,r.kim,103.79,34.6,0.0,0,0
2026-06-17,snowflake,INGEST_WH,data-platform,r.kim,72.32,24.11,0.0,0,0
2026-06-18,ai,claude-3-5-sonnet,ai-apps,r.kim,19.09,0.0,0.0,357769,204165
2026-06-18,ai,gpt-4o,ai-apps,m.okafor,29.9,0.0,0.0,1430661,333627
2026-06-18,ai,gpt-4o-mini,ai-apps,a.sharma,6.66,0.0,0.0,859274,458861
2026-06-18,databricks,etl-cluster,data-platform,a.sharma,115.1,0.0,209.3,0,0
2026-06-18,databricks,ml-cluster,ml-platform,a.sharma,171.8,0.0,312.4,0,0
2026-06-18,snowflake,ANALYTICS_WH,analytics,l.garcia,131.44,43.81,0.0,0,0
